user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,17058629,2,false,na,Col,1,characteristic_level,
auto,17058629,2,false,na,Col,1,measures,indent;
auto,17058629,2,false,na,Row,1,characteristic_level,
auto,17058629,2,false,na,Row,2,arms;characteristic_level,
auto,17124018,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,17124018,1,false,na,Col,1,characteristic_level,indent;
auto,17124018,1,false,na,Row,1,measures,
auto,17190893,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,17190893,1,false,na,Col,1,characteristic_level,empty_row
auto,17190893,1,false,na,Col,1,characteristic_level,indent;
auto,17190893,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,17190893,1,false,na,Row,1,measures,
auto,17259484,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,17259484,1,false,na,Col,1,characteristic_level,empty_row
auto,17259484,1,false,na,Col,1,characteristic_level,indent;
auto,17259484,1,false,na,Row,1,arms,
auto,17304660,2,false,na,Col,1,characteristic_level,bold;empty_row
auto,17304660,2,false,na,Col,1,characteristic_level,indent;
auto,17304660,2,false,na,Row,1,arms;measures;characteristic_name,
auto,17304660,2,false,na,Row,4,measures;characteristic_level,
auto,17304660,2,false,na,Row,7,measures;characteristic_level,
auto,17304660,2,false,na,Row,10,measures;characteristic_level,
auto,17398308,2,false,na,Col,1,characteristic_level,
auto,17398308,2,false,na,Col,1,measures,bold;
auto,17398308,2,false,na,Row,1,arms;measures,
auto,17456819,1,false,na,Col,1,characteristic_level,
auto,17456819,1,false,na,Col,1,characteristic_level;measures,indent;empty_row
auto,17456819,1,false,na,Row,1,arms,
auto,17456819,1,false,na,Row,27,characteristic_level,
auto,17470824,1,false,na,Col,1,characteristic_level;measures,indent;
auto,17470824,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,17470824,1,false,na,Row,1,arms,
auto,17634458,2,false,na,Col,2,measures;characteristic_level,indent
auto,17634458,2,false,na,Row,1,arms;measures,
auto,17634458,2,false,na,Row,2,measures,
auto,17634458,2,false,na,Row,10,characteristic_level,
auto,17634458,2,false,na,Row,13,characteristic_level,
auto,17634458,2,false,na,Row,29,characteristic_level,
auto,17765963,1,false,na,Col,1,characteristic_level,
auto,17765963,1,false,na,Col,1,outcomes,empty_row
auto,17765963,1,false,na,Row,2,arms,
auto,17765963,2,false,na,Col,1,characteristic_level;measures,
auto,17765963,2,false,na,Col,1,characteristic_level,empty_row
auto,17765963,2,false,na,Col,1,characteristic_level,indent;empty_row
auto,17765963,2,false,na,Row,1,measures,
auto,17765963,2,false,na,Row,2,characteristic_level;arms,
auto,17804843,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,17804843,1,false,na,Col,1,characteristic_level,indent;
auto,17804843,1,false,na,Row,1,measures,
